"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2014";"2015";"2016";"2017";"2018";"2019" 
"17352240 Ydelse under jobafklaring med 30 % refusion "; 0,0; 0,0; 33,0; 32,7; 32,6; 34,3
"17352245 Ydelse under jobafklaring med 20 % refusion "; 0,0; 0,0; 205,0; 203,4; 202,9; 213,6
"173523 Revalideringsydelse mv. "; 0,0; 0,0; 269,1; 269,8; 271,5; 275,3
"17352310 Revalideringsydelse mv. med 80 pct. refusion "; 0,0; 0,0; 2,1; 2,1; 2,1; 2,1
"17352315 Revalideringsydelse mv. med 40 pct. refusion "; 0,0; 0,0; 7,1; 7,2; 7,2; 7,3
"17352320 Revalideringsydelse mv. med 30 pct. refusion "; 0,0; 0,0; 12,4; 12,4; 12,5; 12,7
"17352325 Revalideringsydelse mv. med 20 pct. refusion "; 0,0; 0,0; 247,5; 248,1; 249,7; 253,2
"173524 Forrevalidering på kontant- og udd.hjælp "; 0,0; 0,0; 26,9; 27,2; 27,6; 28,0
"17352410 Forrevalidering på kontant-/udd.hjælp m. 80% "; 0,0; 0,0; 0,3; 0,3; 0,3; 0,3
"17352415 Forrevalidering på kontant-/udd.hjælp med 40%"; 0,0; 0,0; 1,2; 1,2; 1,3; 1,3
"17352420 Forrevalidering på kontant-/udd.hjælp med 30%"; 0,0; 0,0; 1,6; 1,6; 1,6; 1,7
"17352425 Forrevalidering på kontant-/udd.hjælp med 20%"; 0,0; 0,0; 23,8; 24,1; 24,4; 24,7
"173525 Ledighedsydelse "; 0,0; 0,0; 129,2; 139,0; 154,3; 172,1
"17352510 Ledighedsydelse med 80 pct. refusion "; 0,0; 0,0; 3,5; 3,8; 4,2; 4,7
"17352515 Ledighedsydelse med 40 pct. refusion "; 0,0; 0,0; 5,6; 6,0; 6,7; 7,4
"17352520 Ledighedsydelse med 30 pct. refusion "; 0,0; 0,0; 4,1; 4,4; 4,9; 5,5
"17352525 Ledighedsydelse med 20 pct. refusion "; 0,0; 0,0; 116,0; 124,8; 138,5; 154,5
"1737 Dagpenge ved barsel "; 9376,8; 9811,6; 10109,1; 10319,7; 10657,8; 11109,5
"173701 Dagpenge ved barsel "; 9355,3; 9789,9; 10087,6; 10298,2; 10636,3; 11088,0
"17370110 Barselsdagpenge "; 9355,3; 9789,9; 10087,6; 10298,2; 10636,3; 11088,0
"173711 Orlov til pasning af syge børn "; 21,5; 21,7; 21,5; 21,5; 21,5; 21,5
"17371110 Dagpenge ved pasning af syge børn "; 21,5; 21,7; 21,5; 21,5; 21,5; 21,5
"1738 Dagpenge ved sygdom "; 4904,1; 4121,8; 4060,9; 4096,1; 4232,0; 4272,7
"173801 Dagpenge ved sygdom "; 4904,1; 4121,8; 0,0; 0,0; 0,0; 0,0
"17380110 Sygedagpenge med 100 pct. refusion "; 1844,5; 1745,5; 0,0; 0,0; 0,0; 0,0
"17380120 Sygedagpenge med 50 pct. refusion "; 723,3; 750,5; 0,0; 0,0; 0,0; 0,0
"17380140 Sygedagpenge med 30 pct. refusion "; 1672,7; 1248,2; 0,0; 0,0; 0,0; 0,0
"17380150 Sygedagpenge med 50 pct. ref, aktivering "; 663,5; 377,6; 0,0; 0,0; 0,0; 0,0
"173811 Dagpenge ved sygdom "; 0,0; 0,0; 4060,9; 4096,1; 4232,0; 4272,7
"17381110 Sygedagpenge med 80 pct. refusion "; 0,0; 0,0; 1158,0; 1167,8; 1205,7; 1217,1
"17381115 Sygedagpenge med 40 pct. refusion "; 0,0; 0,0; 1513,9; 1526,7; 1576,3; 1591,1
"17381120 Sygedagpenge med 30 pct. refusion "; 0,0; 0,0; 674,1; 679,8; 701,8; 708,4
"17381125 Sygedagpenge med 20 pct. refusion "; 0,0; 0,0; 806,5; 813,3; 839,7; 847,6
"17381130 Sygedagpenge i øvrigt "; 0,0; 0,0; -91,6; -91,5; -91,5; -91,5
"174 Arbejdsmarkedsservice "; 7245,1; 6089,2; 5226,8; 4989,0; 4895,7; 4846,4
"1741 Fællesudgifter "; 407,4; 378,8; 371,1; 360,6; 352,4; 344,8
"174101 Styrelsen for Arbejdsmarked og Rekruttering "; 210,0; 304,3; 298,5; 290,4; 284,3; 278,7
"17410110 Almindelig virksomhed "; 206,9; 279,7; 274,5; 266,9; 261,3; 256,2
"17410120 International rekruttering "; 3,0; 0,0; 0,0; 0,0; 0,0; 0,0
"17410130 Workindenmark-centre "; 0,0; 21,0; 20,5; 20,1; 19,7; 19,3
"17410140 Specialfunktion for Job og Handicap "; 0,0; 3,6; 3,5; 3,4; 3,3; 3,2
"17410197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"174110 Udbetaling Danmark "; 71,9; 69,3; 67,5; 65,3; 63,3; 61,4
"17411010 Udbetaling Danmark "; 71,9; 69,3; 67,5; 65,3; 63,3; 61,4
"174111 Det statslige beskæftigelsessystem "; 119,6; 0,0; 0,0; 0,0; 0,0; 0,0
"17411110 Beskæftigelsesregioner "; 95,2; 0,0; 0,0; 0,0; 0,0; 0,0
"17411120 Specialfunktioner "; 3,6; 0,0; 0,0; 0,0; 0,0; 0,0
"17411130 Workindenmark-centre "; 20,8; 0,0; 0,0; 0,0; 0,0; 0,0
"17411197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"174112 Beskæftigelsesrettede aktiviteter "; 9,7; 3,3; 3,3; 3,3; 3,3; 3,3
"17411210 Beskæftigelsesrettede aktiviteter "; 8,5; 0,0; 0,0; 0,0; 0,0; 0,0
"17411220 Central pulje særlig beskæftigelsesindsats "; 0,8; 3,3; 3,3; 3,3; 3,3; 3,3
"17411250 Evaluering m.m. "; 0,4; 0,0; 0,0; 0,0; 0,0; 0,0
"174122 Virksomhedsrettet og tættere kontakt "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"17412210 Pulje til virksomhedsrettet, tættere kontak "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"174131 Validering af atypisk sygefravær "; 6,6; 5,3; 5,2; 5,0; 4,9; 4,8
"17413110 Validering af atypisk sygefravær "; 6,6; 5,3; 5,2; 5,0; 4,9; 4,8
"174132 Oplysninger fra Indkomstregister "; 1,3; 2,0; 2,0; 2,0; 2,0; 2,0
"17413210 Oplysninger fra Indkomstregister "; 1,3; 2,0; 2,0; 2,0; 2,0; 2,0
"174141 Renter "; -11,7; -5,4; -5,4; -5,4; -5,4; -5,4
"17414110 Arbejdsløshedskasser "; -9,7; -4,5; -4,5; -4,5; -4,5; -4,5
"17414120 Øvrige ministerområde "; -2,0; -0,9; -0,9; -0,9; -0,9; -0,9
"1746 Aktiv beskæftigelsesindsats "; 6773,7; 5688,5; 4445,3; 4247,8; 4185,5; 4171,1
"174603 Refusion af driftsudgifter "; 1319,5; 1357,5; 1519,5; 1505,2; 1442,9; 1347,2
"17460310 Dagpenge-, kontanthjælps- "; 1319,5; 1357,5; 1519,5; 1505,2; 1442,9; 1347,2
"174604 Refusion af driftsudgifter "; 45,8; 384,8; 442,9; 527,8; 589,4; 678,8
"17460420 Refusion af driftsudgifter ressourceforløb "; 26,0; 207,4; 255,6; 330,7; 387,1; 468,5
"17460430 Refusion af mentorudgifter "; 14,4; 47,8; 62,9; 73,7; 79,2; 80,8
"17460440 Refusion driftsudgifter jobafklaringsforløb "; 4,8; 113,7; 109,1; 108,2; 108,0; 113,6
"17460450 Refusion mentorudgifter jobafklaringsforløb "; 0,6; 15,9; 15,3; 15,2; 15,1; 15,9
"174605 Driftsudgifter ved uddannelsesordning "; 69,5; 0,0; 0,0; 0,0; 0,0; 0,0
"17460510 Driftsudgifter ved uddannelsesordning "; 69,5; 0,0; 0,0; 0,0; 0,0; 0,0
"174606 Driftsudgifter ved midlertidig arbejdsmarkeds "; 3,8; 14,0; 3,0; 0,0; 0,0; 0,0
"17460610 Driftsudgifter ved den midleritidig "; 3,8; 14,0; 3,0; 0,0; 0,0; 0,0
"174607 Refusion af driftsudgifter "; 552,9; 539,2; 470,2; 473,1; 480,4; 481,0
"17460710 Modtagere af revalideringsydelse "; 552,9; 539,2; 470,2; 473,1; 480,4; 481,0
"174614 Indsats ved større afskedigelser "; 1,9; 21,9; 6,8; 6,4; 6,0; 5,6
"17461410 Indsats ved større afskedigelser "; 3,1; 11,8; 4,6; 4,3; 4,0; 3,6
"17461420 Supplerende varslingsindsats "; -1,2; 10,1; 2,2; 2,1; 2,0; 2,0
"174616 Regionale puljer til en aktiv beskæftigelse "; 26,3; 0,0; 0,0; 0,0; 0,0; 0,0
"17461610 Regional pulje til jobrettet opkvalificering "; 10,3; 0,0; 0,0; 0,0; 0,0; 0,0
"17461615 Regional pulje til jobrettet opkvalificering "; 23,1; 0,0; 0,0; 0,0; 0,0; 0,0
"17461620 Regional pulje til opkvalificerende læse "; -7,1; 0,0; 0,0; 0,0; 0,0; 0,0
"174617 Uddannelsespulje "; 0,0; 65,3; 0,0; 0,0; 0,0; 0,0
"17461710 Uddannelsespulje "; 0,0; 65,3; 0,0; 0,0; 0,0; 0,0
"174618 Refusion af hjælpemidler mv. "; 73,3; 79,0; 76,9; 75,5; 75,6; 75,9
"17461810 Forsikrede ledige og forsikrede beskæftigede "; 12,5; 12,4; 13,2; 13,2; 13,2; 13,2
"17461820 Ikke-forsikrede ledige og beskæftigede "; 46,7; 49,2; 46,0; 44,6; 44,7; 45,0
"17461830 Refusion af udgifter til hjælpemidler "; 14,2; 17,4; 17,7; 17,7; 17,7; 17,7
"174621 Refusion "; 8,6; 12,7; 10,5; 10,5; 10,5; 10,5
"17462150 Refusion af driftsudgifter ved aktivering af "; 8,6; 12,7; 10,5; 10,5; 10,5; 10,5
"174627 Særlig indsats for unge "; -10,3; 0,0; 0,0; 0,0; 0,0; 0,0
"17462730 Opkvalificerende læse-, skrive- og regnekurse"; -7,6; 0,0; 0,0; 0,0; 0,0; 0,0
"17462740 Styrket samarbejde om indsatsen for 15-17- "; -1,8; 0,0; 0,0; 0,0; 0,0; 0,0
"17462750 Kampagner og evalueringer mv. "; -0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"17462755 Erhvervsrettet kompetenceudvikling akademiker"; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"174628 Mentorordning "; 393,1; 355,8; 360,4; 357,8; 357,4; 357,4
"17462810 Mentorordning for personer i aktivering m.fl."; 393,1; 355,8; 360,4; 357,8; 357,4; 357,4
"174630 Styrket indsats, ledige ordblinde mfl. "; 4,5; 0,0; 0,0; 0,0; 0,0; 0,0
"17463010 Styrket indsats for ledige ordblinde mfl. "; 4,5; 0,0; 0,0; 0,0; 0,0; 0,0
"174632 Befordringsgodtgørelse "; 20,3; 24,6; 24,3; 23,4; 22,3; 20,9
"17463210 Befordringsgodtgørelse "; 20,3; 24,6; 24,3; 23,4; 22,3; 20,9
"174633 Jobpræmie for akutjob til ledige "; 9,0; 0,0; 0,0; 0,0; 0,0; 0,0
"17463310 Jobpræmie til private arbejdsgivere "; 4,8; 0,0; 0,0; 0,0; 0,0; 0,0
"17463320 Jobpræmie til offentlige arbejdsgivere "; 4,2; 0,0; 0,0; 0,0; 0,0; 0,0
"174641 Uddannelsesløft "; 0,0; 135,2; 221,6; 217,0; 202,6; 202,6
"17464110 Regional uddannelsespulje "; 0,0; 81,2; 82,3; 82,3; 82,3; 82,3
"17464120 Pulje til uddannelsesløft "; 0,0; 54,0; 139,3; 134,7; 120,3; 120,3
"174642 Kompudvikling og effekteva af besindsats "; 0,0; 28,5; 26,6; 26,6; 29,7; 29,7
"17464210 Pulje til kompetence jobkons "; 0,0; 25,4; 25,6; 25,6; 25,6; 25,6
"17464220 Eval af særlig indsats for ledige i risiko "; 0,0; 3,1; 0,0; 0,0; 0,0; 0,0
"17464230 Evaluering af uddannelsesinitiativer "; 0,0; 0,0; 1,0; 1,0; 4,1; 4,1
"174643 Styrket indsats for ledige "; 0,0; 52,9; 41,0; 35,8; 35,8; 35,8
"17464310 Pulje til ledige med særlige udfordringer "; 0,0; 20,3; 20,6; 20,5; 20,5; 20,5
"17464320 Pulje til forsøg med kombinationsforløb "; 0,0; 10,2; 0,0; 0,0; 0,0; 0,0
"17464330 Pulje til særlig indsats til ledige o. 50 år "; 0,0; 10,2; 10,2; 10,2; 10,2; 10,2
"17464340 Pulje til kurser der overstiger 6 ugers jobre"; 0,0; 5,1; 5,1; 5,1; 5,1; 5,1
"17464350 Pulje til særlig indsats for ledige i risiko "; 0,0; 7,1; 5,1; 0,0; 0,0; 0,0
"174651 Refusion "; 1191,4; 884,4; 0,0; 0,0; 0,0; 0,0
"17465110 Forsikrede ledige "; 637,9; 340,2; 0,0; 0,0; 0,0; 0,0
"17465120 Forsikrede ledige hos private arbejdsgivere "; 141,7; 169,4; 0,0; 0,0; 0,0; 0,0
"17465160 Kontanthjælpsmodtagere m.fl. "; 366,3; 251,5; 0,0; 0,0; 0,0; 0,0
"17465170 Udfaldstruede ledige i den særlige uddannelse"; 16,8; 0,0; 0,0; 0,0; 0,0; 0,0
"17465175 Udfaldstruede ledige vedrørende midlertidige "; 28,8; 122,0; 0,0; 0,0; 0,0; 0,0
"17465180 Udfaldstruede ledige vedrørende kontantydelse"; 0,0; 1,3; 0,0; 0,0; 0,0; 0,0
"174653 Løntilskud ved uddannelsesaftaler "; 239,6; 246,5; 256,3; 228,8; 231,5; 231,5
"17465310 Uddannelsesaftaler "; 239,6; 246,5; 256,3; 228,8; 231,5; 231,5
"174661 Refusion af løntilskud "; 1,1; 10,6; 0,0; 0,0; 0,0; 0,0
"17466125 Løntilskud til modtagere af sygedagpenge "; 0,6; 1,0; 0,0; 0,0; 0,0; 0,0
"17466180 Refusion af løntilskud "; 0,6; 9,6; 0,0; 0,0; 0,0; 0,0
"174663 Jobpræmie "; 36,2; 0,0; 0,0; 0,0; 0,0; 0,0
"17466310 Jobpræmie til enlige forsørgere "; -0,6; 0,0; 0,0; 0,0; 0,0; 0,0
"17466320 Jobpræmie for kontanthjælpsmodtagere "; 36,8; 0,0; 0,0; 0,0; 0,0; 0,0
"174666 Udvikling af indsatsen for sygemeldte "; 0,0; 15,0; 15,1; 15,1; 15,1; 15,1
"17466610 Udvikling af indsatsen for sygemeldte "; 0,0; 15,0; 15,1; 15,1; 15,1; 15,1
"174667 Flere i uddannelse og job "; 188,8; 13,6; 8,0; 4,0; 4,0; 0,0
"17466710 Helhedsindsats for udsatte familier "; 89,1; 0,0; 0,0; 0,0; 0,0; 0,0
"17466720 Indsats i et miljø hvor uddannelse er centrum"; 11,2; 5,1; 0,0; 0,0; 0,0; 0,0
"17466730 Integrationspålæg "; 22,8; 0,0; 0,0; 0,0; 0,0; 0,0
"17466740 Øget indflydelse til borgeren "; 21,5; 0,0; 0,0; 0,0; 0,0; 0,0
"17466750 Implementering af kontanthjælpsreformen "; 17,3; 0,0; 0,0; 0,0; 0,0; 0,0
"17466760 Studiestartsnetværk for forsørgere "; 3,0; 3,0; 3,0; 0,0; 0,0; 0,0
"17466770 Frivillige mentorer "; 1,0; 1,0; 1,0; 0,0; 0,0; 0,0
"17466780 Helhedsorienteret hjælp til aktivitetsparate "; 22,9; 0,5; 0,0; 0,0; 0,0; 0,0
"17466790 Gældsrådgivning til borgere på offentlig fors"; 0,0; 4,0; 4,0; 4,0; 4,0; 0,0
"174668 Bedre vidensgrundlag for flere kontanthjælp "; 3,4; 9,1; 4,0; 0,0; 0,0; 0,0
"17466810 Udvikling af progressionsmåling "; 2,9; 5,1; 0,0; 0,0; 0,0; 0,0
"17466820 Praksisundersøgelser "; 0,5; 1,0; 1,0; 0,0; 0,0; 0,0
"17466830 Evaluering af kontanthjælpsreformen "; 0,0; 3,0; 3,0; 0,0; 0,0; 0,0
"174669 Virksomhedsrettede beskæftigelsesinitiativer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"17466910 Virksomhedsrettede beskæftigelsesinitiativer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"174670 Tværgående aktiviteter, stat, kommuner "; 0,1; 10,2; 10,2; 0,0; 0,0; 0,0
"17467055 Indsats for flere trainee-forløb "; 0,2; 10,2; 10,2; 0,0; 0,0; 0,0
"17467080 Nedbringelse af ledighed for nyuddannede "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"174671 Fagpiloter "; 4,2; 7,2; 0,0; 0,0; 0,0; 0,0
"17467110 Fagpilotordning "; 4,2; 7,2; 0,0; 0,0; 0,0; 0,0
"174673 Tværgående it-understøtning "; 163,8; 192,5; 169,6; 158,6; 164,5; 161,3
"17467310 It-understøtning, udvikling "; 163,8; 192,5; 169,6; 158,6; 164,5; 161,3
"174674 Jobrotation "; 1987,5; 1072,4; 644,0; 450,2; 385,8; 385,8
"17467410 Jobrotation "; 1987,5; 1072,4; 644,0; 450,2; 385,8; 385,8
"174675 jobrotation "; 420,6; 136,3; 132,4; 132,0; 132,0; 132,0
"17467510 Jobrotation "; 420,6; 136,3; 132,4; 132,0; 132,0; 132,0
"174678 Implementering af rehabiliteringsteam "; 18,9; 19,3; 2,0; 0,0; 0,0; 0,0
"17467810 Implementering af rehabiliteringsteam "; 19,6; 19,3; 2,0; 0,0; 0,0; 0,0
"17467820 Vidensdeling mellem kommuner "; -0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"1747 Løntilskud "; 0,0; 0,0; 373,3; 343,5; 320,7; 298,4
"174701 Løntilskud ved ansættelse af forsk. ledig "; 0,0; 0,0; 234,1; 227,4; 216,4; 200,4
"17470110 Løntilskud ved ansættelse af forsk.ledige 80%"; 0,0; 0,0; 1,4; 1,3; 1,2; 1,2
"17470115 Løntilskud ved ansættelse af forsk.ledige 40%"; 0,0; 0,0; 38,2; 37,1; 35,3; 32,7
"17470120 Løntilskud ved ansættelse af forsk.ledige 30%"; 0,0; 0,0; 85,3; 82,9; 78,9; 73,0
"17470125 Løntilskud ved ansættelse af forsk.ledige 20%"; 0,0; 0,0; 109,2; 106,1; 101,0; 93,5
"174702 Løntilskud til kontant- og udd.hjælpmodtagere "; 0,0; 0,0; 105,6; 97,2; 89,6; 82,6
"17470210 Løntilskud kontant-og udd.hjælpmodtagere 80% "; 0,0; 0,0; 1,3; 1,2; 1,1; 1,0
"17470215 Løntilskud kontant- og udd.hjælpmodtagere 40%"; 0,0; 0,0; 8,2; 7,6; 7,0; 6,4
"17470220 Løntilskud kontant- og udd.hjælpmodtagere 30%"; 0,0; 0,0; 13,9; 12,8; 11,8; 10,9
"17470225 Løntilskud kontant- og udd.hjælpmodtagere 20%"; 0,0; 0,0; 82,2; 75,6; 69,7; 64,3
"174703 Løntilskud til personer på midlertidige ord. "; 0,0; 0,0; 21,3; 5,2; 0,0; 0,0
"17470315 Løntilskud til per. på midl. arb.ydelse 40% "; 0,0; 0,0; 0,2; 0,0; 0,0; 0,0
"17470320 Løntilskud til pers, på midl arbm.ydelse 30 %"; 0,0; 0,0; 0,3; 0,0; 0,0; 0,0
"17470325 Løntilskud til pers. på midl arbm.ydelse 20% "; 0,0; 0,0; 10,3; 0,0; 0,0; 0,0
"17470345 Løntilskud ifbm. kontantydelse med 20 % "; 0,0; 0,0; 10,5; 5,2; 0,0; 0,0
"174711 Løntilskud ved ansættelse af revalidender mfl "; 0,0; 0,0; 12,3; 13,7; 14,7; 15,4
"17471110 Løntilskud til revalidender med 80 % refusion"; 0,0; 0,0; 0,1; 0,1; 0,1; 0,1
"17471115 Løntilskud til revalidender med 80 % refusion"; 0,0; 0,0; 0,2; 0,2; 0,2; 0,2
"17471120 Løntilskud til revalidender med 30 % refusion"; 0,0; 0,0; 0,3; 0,3; 0,3; 0,4
"17471125 Løntilskud til revalidender med 80 % refusion"; 0,0; 0,0; 6,9; 6,9; 6,9; 7,1
"17471140 Løntilskud til pers i ress-/jobafk-forløb 30%"; 0,0; 0,0; 0,4; 0,6; 0,7; 0,7
"17471145 Løntilskud til pers i ress-/jobafk-forløb 20%"; 0,0; 0,0; 4,1; 5,3; 6,2; 6,6
"17471155 Løntilskud til modtagere af syged.penge 40 % "; 0,0; 0,0; 0,1; 0,1; 0,1; 0,1
"17471160 Løntilskud til modtagere af syged.penge 30 % "; 0,0; 0,0; 0,1; 0,1; 0,1; 0,1
"17471165 Løntilskud til modtagere af syged.penge 20 % "; 0,0; 0,0; 0,1; 0,1; 0,1; 0,1
"1749 Øvrige beskæftigelsesfremmeordninger "; 64,0; 21,9; 37,1; 37,1; 37,1; 32,1
"174917 Brug for alle- Indsats til udsatte "; -2,3; 0,0; 0,0; 0,0; 0,0; 0,0
"17491710 Brug for alle - Indsats til udsatte "; -2,3; 0,0; 0,0; 0,0; 0,0; 0,0
"174919 Bekæmpelse af ungeledighed "; 67,0; 0,0; 0,0; 0,0; 0,0; 0,0
"17491910 Bekæmpelse af ungeledighed "; -0,9; 0,0; 0,0; 0,0; 0,0; 0,0
"17491920 Brobygning til uddannelse "; 67,9; 0,0; 0,0; 0,0; 0,0; 0,0
"174920 Særlige indsatser for udsatte grupper "; -0,4; 16,9; 32,1; 32,1; 32,1; 32,1
"17492010 Særlige indsatser "; 10,4; 16,9; 32,1; 32,1; 32,1; 32,1
"17492060 Initiativer for personer "; -10,8; 0,0; 0,0; 0,0; 0,0; 0,0
"174924 Jobcentre i ghettoer "; -0,3; 5,0; 5,0; 5,0; 5,0; 0,0
"17492410 Jobcentre i ghettoer "; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"17492420 Fritidsjobambassadører til unge fra udsat bol"; 0,0; 5,0; 5,0; 5,0; 5,0; 0,0
"175 Fastholdelse og international rekruttering "; 28232,2; 26735,7; 23604,3; 20912,6; 17312,3; 16080,7
"1751 Fællesudgifter "; 16,2; 103,7; 27,3; 18,9; 8,7; 8,7
"175103 Fonden for Forebyggelse og Fastholdelse "; -116,6; 0,0; 0,0; 0,0; 0,0; 0,0
"17510310 Fonden for Forebyggelse og Fastholdelse "; -118,5; 0,0; 0,0; 0,0; 0,0; 0,0
"17510320 Sekretariat, Fonden for Forebyggelse og Fasth"; 2,0; 0,0; 0,0; 0,0; 0,0; 0,0
"175111 Cabi "; 16,7; 17,0; 17,1; 8,7; 8,7; 8,7
"17511110 Center for Aktiv Beskæftigelsesindsats "; 16,7; 17,0; 17,1; 8,7; 8,7; 8,7
"175112 Virksomhedskonsulenter-unge med særlige behov "; -1,6; 0,0; 0,0; 0,0; 0,0; 0,0
"17511210 Virksomhedskonsulenter-unge med særlige behov"; -1,6; 0,0; 0,0; 0,0; 0,0; 0,0
"175113 Forebyggende tværgående aktiviteter "; 10,1; 10,1; 10,2; 10,2; 0,0; 0,0
"17511310 Styrket indsats for unge udviklingshæmmede "; 10,0; 10,1; 10,2; 10,2; 0,0; 0,0
"17511320 Information til udenlandske virks./arbejdstag"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"17511325 Fleksjobkampagne "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"175114 Flere fleksjob "; 107,6; 76,6; 0,0; 0,0; 0,0; 0,0
"17511410 Fleksjobambassadører i kommuner "; 101,3; 71,4; 0,0; 0,0; 0,0; 0,0
"17511420 Forsøg med kommunale fleksjobansættelser "; 0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"17511430 Rådg. til virks. m. fleksjob m. psyk. lidelse"; 5,8; 5,2; 0,0; 0,0; 0,0; 0,0
"17511440 Fleksjobværksteder "; 0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"1754 Revalidering og løntilskud mv. "; 1441,8; 1730,2; 927,8; 930,7; 841,2; 756,2
"175401 Revalidering "; 793,0; 825,5; 0,0; 0,0; 0,0; 0,0
"17540110 Revalideringsydelse 65pct ref virksomhedsprak"; 233,6; 226,4; 0,0; 0,0; 0,0; 0,0
"17540120 Revalideringsydelse med 50 procent refusion "; 479,8; 520,9; 0,0; 0,0; 0,0; 0,0
"17540130 Revalideringsydelse med 30 procent refusion "; 50,1; 46,4; 0,0; 0,0; 0,0; 0,0
"17540150 Løntilskud til revalidender 65 pct refusion "; 29,7; 31,2; 0,0; 0,0; 0,0; 0,0
"17540160 Refusion boligtilskud til revalidender/forrev"; -0,2; 0,6; 0,0; 0,0; 0,0; 0,0
"175402 Forrevalidering "; 59,0; 65,7; 0,0; 0,0; 0,0; 0,0
"17540210 Kontanthjælp 50 pct. refusion forrevalidering"; 24,6; 26,8; 0,0; 0,0; 0,0; 0,0
"17540220 Kontanthjælp 50 pct. refusion forrevalidering"; 34,4; 38,9; 0,0; 0,0; 0,0; 0,0
"175406 Skånejob "; 67,3; 76,6; 77,9; 78,0; 78,1; 78,7
"17540610 Skånejob "; 67,3; 76,6; 77,9; 78,0; 78,1; 78,7
"175411 Personlig assistance til personer med handica "; 244,0; 211,8; 239,9; 239,9; 239,9; 239,9
"17541110 Pers. assistance til handicappede i erhverv "; 242,3; 209,3; 237,4; 237,4; 237,4; 237,4
"17541120 Pers. assistance under efter- og videreuddan."; 1,6; 2,5; 2,5; 2,5; 2,5; 2,5
"175421 Seniorjob for personer over 55 år "; 594,6; 611,1; 686,8; 656,1; 572,9; 488,6
"17542110 Seniorjob for personer over 55 år "; 594,6; 611,1; 686,8; 656,1; 572,9; 488,6
"175422 Afløb på servicejob "; 25,9; 18,2; 13,6; 10,2; 7,7; 7,7
"17542210 Afløb på servicejob "; 25,9; 18,2; 13,6; 10,2; 7,7; 7,7
"175430 Hjælp til pers uden ret til fuld førtidspen "; 0,0; 0,0; 35,5; 35,5; 35,5; 35,5
"17543010 Hjælp til pers u. ret til fuld førtidspen 80%"; 0,0; 0,0; 1,7; 1,7; 1,7; 1,7
"17543015 Hjælp til pers u. ret til fuld førtidspen 40%"; 0,0; 0,0; 3,3; 3,3; 3,3; 3,3
"17543020 Hjælp til pers u. ret til fuld førtidspen 30%"; 0,0; 0,0; 2,7; 2,7; 2,7; 2,7
"17543025 Hjælp til pers u. ret til fuld førtidspen 20%"; 0,0; 0,0; 27,8; 27,8; 27,8; 27,8
"175431 Hjælp til personer uden ret til social pensio "; 71,2; 54,2; 10,8; 9,4; 8,0; 6,5
"17543110 Hjælp til personer uden ret til social pensio"; 71,2; 54,2; 10,8; 9,4; 8,0; 6,5
"175432 Forsørgelse af danske statsborgere i udlandet "; 2,1; 2,7; 2,7; 2,7; 2,7; 2,7
"17543210 Forsørgelse af danske statsborgere i udlandet"; 2,1; 2,7; 2,7; 2,7; 2,7; 2,7
"175435 Delpension "; 13,0; 14,4; 10,6; 8,9; 6,4; 6,6
"17543510 Delpension "; 13,0; 14,4; 10,6; 8,9; 6,4; 6,6
"175441 Ikke hævet feriegodtgørelse "; -428,3; -150,0; -150,0; -110,0; -110,0; -110,0
"17544110 Ikke hævet feriegodtgørelse "; -428,3; -150,0; -150,0; -110,0; -110,0; -110,0
"1755 Efterløn "; 18401,2; 16390,5; 14799,4; 12721,0; 9780,2; 8916,5
"175501 Efterløn "; 18401,2; 16390,5; 14799,4; 12721,0; 9780,2; 8916,5
"17550110 Efterløn "; 16139,6; 14192,1; 12576,8; 10498,4; 7557,6; 7805,2
"17550130 Skattefri præmie "; 2261,6; 2198,4; 2222,6; 2222,6; 2222,6; 1111,3
"1756 Fleksjob "; 8261,5; 8399,5; 7743,2; 7170,6; 6629,3; 6352,4
"175601 Fleksjob med fast refusion "; 6731,9; 6838,4; 6133,1; 5356,6; 4604,4; 4118,7
"17560110 Fleksjob med 65 pct. refusion "; 4964,2; 4467,0; 3959,0; 3447,6; 3031,6; 2728,5
"17560120 Fleksjob med indtægtsreguleret tilskud "; 1761,0; 2352,2; 2162,5; 1898,8; 1564,3; 1382,7
"17560130 Fleksjob til selvstændige "; 6,7; 19,2; 11,6; 10,2; 8,5; 7,5
